asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
SILVER,LONG,2025-10-14T03:00:00+00:00,2025-10-14T04:00:00+00:00,52.16,2025-10-14T06:00:00+00:00,50.215,51.4356,53.6087,1.339555,0.9703,-2.6054,-2.685,2.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,82.29088693559562,0.7315921876952203,0.6425334554171693,BULLISH,BULLISH,50.56880711147175,7664.0,0.4829019786246238,94.4256
SILVER,LONG,2025-10-15T01:00:00+00:00,2025-10-15T02:00:00+00:00,51.255,2025-10-16T02:00:00+00:00,52.8843,50.4403,52.8843,1.15906,0.9443,1.8885,2.0,24.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,59.05389193828156,0.11396175850897095,0.08961557770663262,BULLISH,BULLISH,50.59755608348766,5895.0,0.543115863929556,96.3141
SILVER,LONG,2025-10-16T14:00:00+00:00,2025-10-16T15:00:00+00:00,53.1,2025-10-17T01:00:00+00:00,52.3722,52.3722,54.5556,1.323369,0.9631,-0.9631,-1.0,10.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,65.47233833491465,0.25756809586406604,0.23098645652892605,BULLISH,BULLISH,52.18815564614682,16508.0,0.485196560889092,95.351
SILVER,SHORT,2025-10-27T13:00:00+00:00,2025-10-27T14:00:00+00:00,46.985,2025-10-28T08:00:00+00:00,45.7075,47.6238,45.7075,1.492758,0.9535,1.907,2.0,18.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,33.723033390935555,-0.24584529554637413,-0.14025619922363672,BEARISH,BEARISH,47.852451412712476,11171.0,0.42583814409002346,97.258
SILVER,SHORT,2025-11-04T02:00:00+00:00,2025-11-04T03:00:00+00:00,47.64,2025-11-04T14:00:00+00:00,46.7473,48.0863,46.7473,2.041519,0.9726,1.8225,1.874,11.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,36.459780936110015,-0.1724156178858891,-0.11433761304738141,BEARISH,BEARISH,48.091238719049166,2118.0,0.29756604253465585,99.0804
SILVER,SHORT,2025-11-04T18:00:00+00:00,2025-11-04T19:00:00+00:00,47.11,2025-11-05T08:00:00+00:00,47.67,47.67,45.99,1.76933,0.9908,-0.9908,-1.0,13.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,38.874049186949065,-0.22640899974329898,-0.22286170203520958,BEARISH,BEARISH,47.51505983388143,3212.0,0.3733256333363673,98.0896
SILVER,LONG,2025-11-10T01:00:00+00:00,2025-11-10T02:00:00+00:00,49.05,2025-11-10T17:00:00+00:00,50.136,48.507,50.136,1.806404,0.9809,1.9618,2.0,15.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,68.43369338699172,0.1051957338481131,0.05883006719932401,BULLISH,BULLISH,48.367124997920946,8048.0,0.3620069966360583,100.0514
SILVER,LONG,2025-11-11T01:00:00+00:00,2025-11-11T02:00:00+00:00,50.54,2025-11-11T15:00:00+00:00,50.1771,50.1771,51.2659,1.979648,1.0005,-0.7185,-0.718,13.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,71.86913903700287,0.43509975320503,0.42668699762844337,BULLISH,BULLISH,49.99499147852539,2588.0,0.24196297581200296,99.3329
SILVER,LONG,2025-11-12T07:00:00+00:00,2025-11-12T08:00:00+00:00,51.5,2025-11-12T14:00:00+00:00,52.3631,51.0684,52.3631,1.928795,0.9933,1.6648,1.676,6.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,66.61283374507428,0.2312656554696133,0.2221294703360488,BULLISH,BULLISH,50.96542086517494,2527.0,0.28770558126891677,100.9977
SILVER,LONG,2025-11-13T01:00:00+00:00,2025-11-13T02:00:00+00:00,53.36,2025-11-13T14:00:00+00:00,52.7745,52.7745,54.5311,1.724863,1.01,-1.01,-1.0,12.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,73.94457396676249,0.6381613599634903,0.5996423874585494,BULLISH,BULLISH,52.582238282036066,4130.0,0.390360251793955,99.9877
